"year"	"artist_id"	"hotness"
"1926"	"ARE36MM1187B991E50"	"0.3828469015"
"1926"	"ARE36MM1187B991E50"	"0.3828469015"
"1927"	"ARE36MM1187B991E50"	"0.3828469015"
"1927"	"ARRU9GR1187FB43F56"	"0.385344913733"
"1927"	"ARWQ2DR1187B98FF28"	"0.38556752316"
"1929"	"ARTDUXM1187B9899ED"	"0.375593582585"
"1930"	"ARTDUXM1187B9899ED"	"0.375593582585"
"1930"	"ARE2QID1187B98FA19"	"0.353035740145"
"1934"	"ARTDUXM1187B9899ED"	"0.375593582585"
"1935"	"ARE2QID1187B98FA19"	"0.353035740145"
"1935"	"ARE2QID1187B98FA19"	"0.353035740145"
"1936"	"AR9HABI1187FB3ACAA"	"0.342626790602"
"1940"	"ARNEL2O1187FB4421A"	"0.424487598725"
"1940"	"ARNEL2O1187FB4421A"	"0.424487598725"
"1947"	"ARPFKK81187B99878D"	"0.313647771107"
"1947"	"ARPFKK81187B99878D"	"0.313647771107"
"1950"	"ARAOPEF1187B995099"	"0.333723342491"
"1953"	"ARZJKZR1187FB3EFC2"	"0.423070612086"
"1953"	"ARLV8S31187B988B71"	"0.39428966212"
"1953"	"ARPN0NC1187B991591"	"0.319119601789"
"1953"	"ARKXLIJ1187B9A4C54"	"0.361340210432"
"1954"	"AR58SJE1187B9A8E4C"	"0.355974358947"
"1955"	"ARC0MTS1187FB44C21"	"0.436769069709"
"1956"	"AR4GAFY1187B9B639D"	"0.542289933434"
"1956"	"AR4GAFY1187B9B639D"	"0.542289933434"
"1956"	"AR9ST641187B99B4DE"	"0.369076870549"
"1956"	"AR14CJ91187FB3A994"	"0.397775654323"
"1956"	"ARLV8S31187B988B71"	"0.39428966212"
"1956"	"ARLV8S31187B988B71"	"0.39428966212"
"1956"	"ARWVOHH1187FB5974B"	"0.467565441274"
"1957"	"ARN9Q881187FB3D951"	"0.387333145782"
"1958"	"ARZQSNO1187FB5BBAB"	"0.364258870671"
"1958"	"ARHRKTK1187B99E1D5"	"0.419408141119"
"1958"	"ARHRKTK1187B99E1D5"	"0.419408141119"
"1958"	"ARHRKTK1187B99E1D5"	"0.419408141119"
"1958"	"ARHRKTK1187B99E1D5"	"0.419408141119"
"1958"	"ARQDONM1187B9BA1AD"	"0.316486173006"
"1959"	"ARXSPYZ1187B98972A"	"0.257496328171"
"1959"	"AR392MV1187FB3C3FE"	"0.456080519824"
"1959"	"AR7CCCC1187FB578FF"	"0.379651219002"
"1959"	"AR7CCCC1187FB578FF"	"0.379651219002"
"1959"	"ARHRKTK1187B99E1D5"	"0.419408141119"
"1959"	"ARH861H1187B9B799E"	"0.735208877747"
"1959"	"ARTBFV61187FB3C250"	"0.438168226182"
"1959"	"AR3THYK1187B999F1F"	"0.458738221226"
"1959"	"AR1N6N61187FB4E25E"	"0.360053306539"
"1960"	"ARGKD4W1187B990E04"	"0.566912407282"
"1960"	"ARGKD4W1187B990E04"	"0.566912407282"
"1960"	"AR7CCCC1187FB578FF"	"0.379651219002"
"1960"	"ARRT66G1187FB3DDF9"	"0.382593000876"
"1960"	"AR0X3JJ1187FB3A9A7"	"0.37943697224"
"1960"	"AR8XG9J1187FB418C1"	"0.389589781113"
"1960"	"ARIK8T31187B9A4D4F"	"0.390828595508"
"1960"	"ARALP6I1187B989E27"	"0.379137555625"
"1960"	"ARALP6I1187B989E27"	"0.379137555625"
"1961"	"ARJDWEA1187B9B676F"	"0.372910680758"
